,title,retweet_count,created_at,retweet_count_nz,created_at_nz,commentary_total
0,세이노의 가르침,16.0,5.0,0.16,1.0,1.16
1,종의 기원,9.0,5.0,0.09,1.0,1.09
2,불편한 편의점,6.0,5.0,0.06,1.0,1.06
3,삶의 목적을 찾는 45가지 방법,5.0,5.0,0.05,1.0,1.05
4,트렌드 코리아 2023,4.0,5.0,0.04,1.0,1.04
5,사피엔스,4.0,5.0,0.04,1.0,1.04
6,그대 늙어가는 것이 아니라 익어가는 것이다,3.0,5.0,0.03,1.0,1.03
7,김미경의 마흔 수업,3.0,5.0,0.03,1.0,1.03
8,챗GPT에게 묻는 인류의 미래,3.0,5.0,0.03,1.0,1.03
9,미움받을 용기,3.0,5.0,0.03,1.0,1.03
10,오만과 편견,3.0,5.0,0.03,1.0,1.03
11,세상의 마지막 기차역,2.0,5.0,0.02,1.0,1.02
12,역행자,2.0,5.0,0.02,1.0,1.02
13,안젤리크,2.0,5.0,0.02,1.0,1.02
14,물고기는 존재하지 않는다,2.0,5.0,0.02,1.0,1.02
15,GPT 제너레이션,1.0,5.0,0.01,1.0,1.01
16,지금 알고 있는 걸 그때도 알았더라면,1.0,5.0,0.01,1.0,1.01
17,초거대 위협,1.0,5.0,0.01,1.0,1.01
18,"하루 한 장, 인생 그림",1.0,5.0,0.01,1.0,1.01
19,작별 인사,1.0,5.0,0.01,1.0,1.01
20,악인론,1.0,5.0,0.01,1.0,1.01
21,사랑의 기술,1.0,5.0,0.01,1.0,1.01
22,불편한 편의점 2,1.0,5.0,0.01,1.0,1.01
23,구의 증명,1.0,5.0,0.01,1.0,1.01
24,데일 카네기 인간관계론,1.0,5.0,0.01,1.0,1.01
25,달러구트 꿈 백화점,1.0,5.0,0.01,1.0,1.01
26,미스터 프레지던트,0.0,5.0,0.0,1.0,1.0
27,"사실은, 단 한 사람이면 되었다",0.0,5.0,0.0,1.0,1.0
28,영어 필사 100일의 기적,0.0,5.0,0.0,1.0,1.0
29,"어서 오세요, 휴남동 서점입니다",0.0,5.0,0.0,1.0,1.0
30,어떻게 말해줘야 할까,0.0,5.0,0.0,1.0,1.0
31,실리콘밸리에선 어떻게 일하나요,0.0,5.0,0.0,1.0,1.0
32,신경 끄기 연습,0.0,5.0,0.0,1.0,1.0
33,세컨드 브레인,0.0,5.0,0.0,1.0,1.0
34,세상 끝의 카페,0.0,5.0,0.0,1.0,1.0
35,부자 아빠 가난한 아빠 20주년 특별 기념판,0.0,5.0,0.0,1.0,1.0
36,만일 내가 인생을 다시 산다면,0.0,5.0,0.0,1.0,1.0
37,망그러진 만화,0.0,5.0,0.0,1.0,1.0
38,오래된 연장통,0.0,5.0,0.0,1.0,1.0
39,면접바이블 2.0,0.0,5.0,0.0,1.0,1.0
40,무조건 합격하는 암기의 기술,0.0,5.0,0.0,1.0,1.0
41,베싸육아,0.0,5.0,0.0,1.0,1.0
42,미루는 습관 극복하기 ,0.0,5.0,0.0,1.0,1.0
43,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",0.0,5.0,0.0,1.0,1.0
44,청년 주부 구운몽,0.0,5.0,0.0,1.0,1.0
45,욕망의 진화,0.0,5.0,0.0,1.0,1.0
46,운을 벌어야 돈이 벌린다,0.0,5.0,0.0,1.0,1.0
47,호모 데우스,0.0,5.0,0.0,1.0,1.0
48,합리적 남자,0.0,5.0,0.0,1.0,1.0
49,한밤중의 심리학 수업,0.0,5.0,0.0,1.0,1.0
50,한국과학문명사 강의,0.0,5.0,0.0,1.0,1.0
51,팩트풀니스,0.0,5.0,0.0,1.0,1.0
52,파워,0.0,5.0,0.0,1.0,1.0
53,팀 켈러의 용서를 배우다,0.0,5.0,0.0,1.0,1.0
54,클루지,0.0,5.0,0.0,1.0,1.0
55,레버리지,0.0,5.0,0.0,1.0,1.0
56,천문학자는 별을 보지 않는다 ,0.0,5.0,0.0,1.0,1.0
57,지적 대화를 위한 넓고 얕은 지식 1,0.0,5.0,0.0,1.0,1.0
58,지금보다 괜찮은 어른,0.0,5.0,0.0,1.0,1.0
59,죽은 경제학자의 살아있는 아이디어,0.0,5.0,0.0,1.0,1.0
60,조셉 머피 잠재의식의 힘,0.0,5.0,0.0,1.0,1.0
61,인스타 브레인,0.0,5.0,0.0,1.0,1.0
62,인생을 숙제처럼 살지 않기로 했다,0.0,5.0,0.0,1.0,1.0
63,인간 본성의 법칙,0.0,5.0,0.0,1.0,1.0
64,마흔에 읽는 니체,0.0,5.0,0.0,1.0,1.0
65,당신은 결국 무엇이든 해내는 사람,0.0,5.0,0.0,1.0,1.0
66,효기심의 권력으로 읽는 세계사: 유럽편,0.0,5.0,0.0,1.0,1.0
67,노잉,0.0,5.0,0.0,1.0,1.0
68,거꾸로 읽는 세계사 ,0.0,5.0,0.0,1.0,1.0
69,나는 나를 바꾸기로 했다,0.0,5.0,0.0,1.0,1.0
70,나는 논어를 만나 행복해졌다,0.0,5.0,0.0,1.0,1.0
71,K 배터리 레볼루션,0.0,5.0,0.0,1.0,1.0
72,H마트에서 울다,0.0,5.0,0.0,1.0,1.0
73,나미야 잡화점의 기적,0.0,5.0,0.0,1.0,1.0
74,나의 머니 로드,0.0,5.0,0.0,1.0,1.0
75,DO IT 두잇,0.0,5.0,0.0,1.0,1.0
76,AI 지도책,0.0,5.0,0.0,1.0,1.0
77,데일리 필로소피,0.0,5.0,0.0,1.0,1.0
78,내가 틀릴 수도 있습니다,0.0,5.0,0.0,1.0,1.0
79,농담,0.0,5.0,0.0,1.0,1.0
80,뉴욕 정신과 의사의 사람 도서관,0.0,5.0,0.0,1.0,1.0
81,당신은 생각보다 강하다,0.0,5.0,0.0,1.0,1.0
82,당신은 이미 읽혔다,0.0,5.0,0.0,1.0,1.0
83,너의 이름은。,100.0,0.0,1.0,0.0,1.0
84,거인의 노트,0.0,5.0,0.0,1.0,1.0
85,"바바라 민토, 논리의 기술",0.0,4.0,0.0,0.8,0.8
86,모든 것이 괜찮아지는 기술,0.0,4.0,0.0,0.8,0.8
87,나도 아직 나를 모른다,0.0,4.0,0.0,0.8,0.8
88,데미안,67.0,0.0,0.67,0.0,0.67
89,초공간,2.0,3.0,0.02,0.6,0.62
90,퀀트 투자 무작정 따라하기,0.0,3.0,0.0,0.6,0.6
91,STOP SMOKING 스탑 스모킹,0.0,3.0,0.0,0.6,0.6
92,마법의 돈 굴리기,0.0,3.0,0.0,0.6,0.6
93,수상한 목욕탕,0.0,3.0,0.0,0.6,0.6
94,내 아이를 위한 감정코칭,0.0,3.0,0.0,0.6,0.6
95,대성당,1.0,2.0,0.01,0.4,0.41000000000000003
96,게으른 뇌에 행동 스위치를 켜라,0.0,2.0,0.0,0.4,0.4
97,기독교가 직면한 12가지 질문,0.0,2.0,0.0,0.4,0.4
98,강해 설교의 기술,0.0,2.0,0.0,0.4,0.4
99,소프트웨어 장인,0.0,2.0,0.0,0.4,0.4
100,3층 서기실의 암호,0.0,2.0,0.0,0.4,0.4
101,여자가 섹스를 하는 237가지 이유,0.0,2.0,0.0,0.4,0.4
102,포스트휴먼이 몰려온다.,0.0,2.0,0.0,0.4,0.4
103,스티브 잡스,30.0,0.0,0.3,0.0,0.3
104,하얼빈,4.0,1.0,0.04,0.2,0.24000000000000002
105,햇빛초 대나무 숲에 새 글이 올라왔습니다,0.0,1.0,0.0,0.2,0.2
106,데이터는 어떻게 인생의 무기가 되는가,0.0,1.0,0.0,0.2,0.2
107,댓글부대,0.0,1.0,0.0,0.2,0.2
108,문명의 붕괴,0.0,1.0,0.0,0.2,0.2
109,모두 거짓말을 한다,0.0,1.0,0.0,0.2,0.2
110,비밀,0.0,1.0,0.0,0.2,0.2
111,시나리오란 무엇인가,0.0,1.0,0.0,0.2,0.2
112,영양의 비밀,0.0,1.0,0.0,0.2,0.2
113,사랑의 이해,4.0,0.0,0.04,0.0,0.04
114,인간 실격,3.0,0.0,0.03,0.0,0.03
115,만들어진 신,3.0,0.0,0.03,0.0,0.03
116,해리엇,1.0,0.0,0.01,0.0,0.01
117,환상서점 ,1.0,0.0,0.01,0.0,0.01
118,기분이 태도가 되지 않게,1.0,0.0,0.01,0.0,0.01
