,isbn_n,isbn_m,title,writer,point_n,point_m,rank_total,image
1,9791198013026,9791198013033,김미경의 마흔 수업,김미경,100.0,99.0,199.0,https://comicthumb-phinf.pstatic.net/20230216_20/pocket_1676505926866I02KW_JPEG/kyobo6182013218421176023l9791198013026.jpg?type=m101
2,9788934985068,9788934995005,팩트풀니스,"한스로슬링,올라로슬링,안나로슬링뢴룬드 지음, 이창신 옮김",90.0,92.0,182.0,https://comicthumb-phinf.pstatic.net/20190404_258/pocket_1554332730405bPYwe_JPEG/kpc66653537273067513889788934985068.jpg?type=m101
3,9788956608556,9788956608594,구의 증명,최진영 지음,99.0,80.0,179.0,https://comicthumb-phinf.pstatic.net/20200509_198/pocket_15889791559538Y0eU_JPEG/kpc315322651917666689788956608594.jpg?type=m101
4,9788934972464,9788934972723,사피엔스,"유발하라리 지음, 조현욱 옮김",83.0,94.0,177.0,https://comicthumb-phinf.pstatic.net/20230128_278/pocket_167486043200855E9n_JPEG/kpc32124044933800342559788934972976.jpg?type=m101
5,9791190313186,9791190313254,지적 대화를 위한 넓고 얕은 지식 1,채사장 지음,97.0,75.0,172.0,https://comicthumb-phinf.pstatic.net/20230217_80/pocket_16765926839042pReV_JPEG/kyobo6885653103002582982l9791190313186.jpg?type=m101
6,9791191521221,9791191521238,K 배터리 레볼루션,박순혁,98.0,68.0,166.0,https://comicthumb-phinf.pstatic.net/20230223_260/pocket_1677111584285A2woM_JPEG/kyobo7202142205646382139l9791191521221.jpg?type=m101
7,9788901260716,9788901260877,역행자,자청,68.0,81.0,149.0,https://comicthumb-phinf.pstatic.net/20220530_109/pocket_1653883541006ogVBI_JPEG/%BF%AA%C7%E0%C0%DA_%C7%A5%C1%F6.jpg?type=m101
8,9791161571188,9791161571195,불편한 편의점,김호연 지음,45.0,95.0,140.0,https://comicthumb-phinf.pstatic.net/20230221_278/pocket_1676943386832O8KcQ_JPEG/kyobo501829617274137662l9791161571188.jpg?type=m101
9,9788954699914,9788954642606,하얼빈,김훈,95.0,43.0,138.0,https://comicthumb-phinf.pstatic.net/20230119_242/pocket_1674083481645sEOMO_JPEG/kpc_etc63222448879817106699788954642606.jpg?type=m101
10,nan,9791168474000,세이노의 가르침,세이노,0.0,100.0,100.0,https://img.millie.co.kr/200x/service/cover/179590093/2fa4ba51473f42d3962302d3ed3bcd77.jpg
11,nan,9791197689291,뉴욕 정신과 의사의 사람 도서관,나종호,0.0,98.0,98.0,https://img.millie.co.kr/200x/service/cover/179594156/9f3bcb8310da4713ac25d103ae46e255.jpg
