isbn,rank,website,title,writer,image,date
9791198013026,1,naver,김미경의 마흔 수업,김미경,https://comicthumb-phinf.pstatic.net/20230216_20/pocket_1676505926866I02KW_JPEG/kyobo6182013218421176023l9791198013026.jpg?type=m101,2023-03-19
9788956608556,2,naver,구의 증명,최진영,https://comicthumb-phinf.pstatic.net/20200509_198/pocket_15889791559538Y0eU_JPEG/kpc315322651917666689788956608594.jpg?type=m101,2023-03-19
9791191521221,3,naver,K 배터리 레볼루션,박순혁,https://comicthumb-phinf.pstatic.net/20230223_260/pocket_1677111584285A2woM_JPEG/kyobo7202142205646382139l9791191521221.jpg?type=m101,2023-03-19
9791190313186,4,naver,지적 대화를 위한 넓고 얕은 지식 1,채사장,https://comicthumb-phinf.pstatic.net/20230217_80/pocket_16765926839042pReV_JPEG/kyobo6885653103002582982l9791190313186.jpg?type=m101,2023-03-19
9788937484018,5,naver,농담,밀란 쿤데라,https://comicthumb-phinf.pstatic.net/20210604_9/pocket_16227660629937fnMk_JPEG/9788937416507__v1.jpg?type=m101,2023-03-19
9788954699914,6,naver,하얼빈,김훈,https://comicthumb-phinf.pstatic.net/20230119_242/pocket_1674083481645sEOMO_JPEG/kpc_etc63222448879817106699788954642606.jpg?type=m101,2023-03-19
9791164161393,7,naver,운을 벌어야 돈이 벌린다,이정재,https://comicthumb-phinf.pstatic.net/20230221_170/pocket_1676938709398eN1on_JPEG/kyobo6646594386544414294l9791164161393.jpg?type=m101,2023-03-19
9791198035509,8,naver,모든 것이 괜찮아지는 기술,데런 브라운,https://comicthumb-phinf.pstatic.net/20230114_108/pocket_16736545061682TJOb_JPEG/kyobo6941313956065597265l480D230174150.jpg?type=m101,2023-03-19
9788934985655,9,naver,예술경영,용호성,https://comicthumb-phinf.pstatic.net/20200405_255/pocket_1586041707449JbhLs_JPEG/kpc83018476998741046219788934986171.jpg?type=m101,2023-03-19
9788957336717,10,naver,포스트휴먼이 몰려온다.,신상규,https://comicthumb-phinf.pstatic.net/20200528_16/pocket_1590620577247QiPSz_JPEG/kpc3074147730621311429788957336779.jpg?type=m101,2023-03-19
9788934985068,11,naver,팩트풀니스,한스 로슬링,https://comicthumb-phinf.pstatic.net/20190404_258/pocket_1554332730405bPYwe_JPEG/kpc66653537273067513889788934985068.jpg?type=m101,2023-03-19
9788983712073,12,naver,욕망의 진화,데이비드 버스,https://comicthumb-phinf.pstatic.net/20191105_231/pocket_1572945079096ScbUt_JPEG/9791190403047__v1.jpg?type=m101,2023-03-19
9791192625188,13,naver,그대 늙어가는 것이 아니라 익어가는 것이다,오평선,https://comicthumb-phinf.pstatic.net/20221222_57/pocket_167166742589326QbJ_JPEG/kyobo8683696092185703558l9791192625188.jpg?type=m101,2023-03-19
9788965749868,14,naver,내 아이를 위한 감정코칭,최성애,https://comicthumb-phinf.pstatic.net/20221125_300/pocket_1669330823039tUjzv_JPEG/kpc73669797636978316539788965749097.jpg?type=m101,2023-03-19
9788950991418,15,naver,이한우의 설원 상,이한우,https://comicthumb-phinf.pstatic.net/20230118_258/pocket_1674022443101xSlJo_JPEG/%C0%CC%C7%D1%BF%EC%C0%C7_%BC%B3%BF%F8%28%DF%BE%29_-_%C0%AF%C7%E2_%C2%F9%C1%FD_%BF%CF%BF%AA_%C7%D8%BC%B3%28540-810%29.jpg?type=m101,2023-03-19
9788934926184,16,naver,만들어진 신,리처드 도킨스,https://comicthumb-phinf.pstatic.net//20160312_272/pocket_1457737644433tWUrB_JPEG/kpc38108032083573457539788934926184.jpg?type=m101,2023-03-19
9791191560305,17,naver,노잉,안도 미후유,https://comicthumb-phinf.pstatic.net/20230223_247/pocket_16771105198807Kpn4_JPEG/kyobo6832334960988097528l9791191560305.jpg?type=m101,2023-03-19
9788934972464,18,naver,사피엔스,유발 하라리,https://comicthumb-phinf.pstatic.net/20230128_278/pocket_167486043200855E9n_JPEG/kpc32124044933800342559788934972976.jpg?type=m101,2023-03-19
9791140701919,19,naver,모두 거짓말을 한다,세스 스티븐스 다비도위츠,https://comicthumb-phinf.pstatic.net/20221124_58/pocket_1669244782216qk0wr_JPEG/kpc77670616622314499749791140702381.jpg?type=m101,2023-03-19
9788937836374,20,naver,나미야 잡화점의 기적,히가시노 게이고,https://comicthumb-phinf.pstatic.net/20210919_8/pocket_1632010829155BaHBQ_JPEG/kyobo8356636016586405181l9788972756194.jpg?type=m101,2023-03-19
9791140700943,21,naver,도커 교과서 (epub3.0),엘튼 스톤맨,https://comicthumb-phinf.pstatic.net/20220818_105/pocket_1660777215307EPVV2_JPEG/kpc78261166890114707669791140701230.jpg?type=m101,2023-03-19
9791140701469,22,naver,실리콘밸리에선 어떻게 일하나요,크리스 채,https://comicthumb-phinf.pstatic.net/20220929_249/pocket_1664406015779o9SxG_JPEG/kpc41296594082715107839791140701667.jpg?type=m101,2023-03-19
9788965236504,23,naver,3층 서기실의 암호,태영호,https://comicthumb-phinf.pstatic.net/20180628_283/pocket_1530150771294YMPAU_JPEG/kyobo6709761509397740168l9788965236504.jpg?type=m101,2023-03-19
9791191432008,24,naver,한국과학문명사 강의,신동원,https://comicthumb-phinf.pstatic.net/20230119_135/pocket_1674082801561tiQPy_JPEG/kpc19808869279790710559791192913018.jpg?type=m101,2023-03-19
9791197015298,25,naver,DO IT 두잇,데이비드 차,https://comicthumb-phinf.pstatic.net/20230218_226/pocket_1676679014641n573e_JPEG/kyobo4918438770655253803l480D230226130.jpg?type=m101,2023-03-19
9788956609959,26,naver,종의 기원,정유정,https://comicthumb-phinf.pstatic.net/20180712_82/pocket_1531350109568w09xN_JPEG/kpc60655016156411515519788956603681.jpg?type=m101,2023-03-19
9788984059719,27,naver,"바바라 민토, 논리의 기술",바바라 민토,https://comicthumb-phinf.pstatic.net/20190818_31/pocket_1566082909825gjtBK_JPEG/kpc2082025241153627239788984059726.jpg?type=m101,2023-03-19
9791168340770,28,naver,미움받을 용기,기시미 이치로,https://comicthumb-phinf.pstatic.net/20230113_276/pocket_1673568056212NYcN0_JPEG/kyobo8175047181817765076l9791168340770.jpg?type=m101,2023-03-19
9788937461033,29,naver,인간 실격,다자이 오사무,https://comicthumb-phinf.pstatic.net/20220822_213/pocket_1661155681944WfF11_JPEG/9788937494031_%C0%CE%B0%A3%BD%C7%B0%DD_v2.jpg?type=m101,2023-03-19
9791130679365,30,naver,데일리 필로소피,라이언 홀리데이,https://comicthumb-phinf.pstatic.net/20211224_192/pocket_1640309246741i2P2R_JPEG/9791130679433.jpg?type=m101,2023-03-19
9788942104741,31,naver,기독교가 직면한 12가지 질문,레베카 맥클러플린,https://comicthumb-phinf.pstatic.net/20230112_32/pocket_1673481847450a83zd_JPEG/kyobo5490139344741936542l9788942104741.jpg?type=m101,2023-03-19
9788946422278,32,naver,타인의 마음,김경일,https://comicthumb-phinf.pstatic.net/20221224_93/pocket_1671840148847eQcgO_JPEG/kyobo6264792582338202674l9788946422278.jpg?type=m101,2023-03-19
9788901260716,33,naver,역행자,자청,https://comicthumb-phinf.pstatic.net/20220530_109/pocket_1653883541006ogVBI_JPEG/%BF%AA%C7%E0%C0%DA_%C7%A5%C1%F6.jpg?type=m101,2023-03-19
9788984374546,34,naver,안젤리크,기욤 뮈소,https://comicthumb-phinf.pstatic.net/20230110_226/pocket_1673308938316dMfHX_JPEG/kyobo949747542945545634l9788984374546.jpg?type=m101,2023-03-19
