,isbn_n,isbn_m,title,writer,image,rank_total,commentary_total,rank_total_nz,commentary_total_nz,final_score_nz
0,9791198013026,9791198013033,김미경의 마흔 수업,김미경,https://comicthumb-phinf.pstatic.net/20230216_20/pocket_1676505926866I02KW_JPEG/kyobo6182013218421176023l9791198013026.jpg?type=m101,199.0,1.03,1.0,0.8879310344827587,0.9327586206896552
1,9788934972464,9788934972723,사피엔스,"유발하라리 지음, 조현욱 옮김",https://comicthumb-phinf.pstatic.net/20230128_278/pocket_167486043200855E9n_JPEG/kpc32124044933800342559788934972976.jpg?type=m101,177.0,1.04,0.8894472361809045,0.8965517241379312,0.8937099289551205
2,9788934985068,9788934995005,팩트풀니스,"한스로슬링,올라로슬링,안나로슬링뢴룬드 지음, 이창신 옮김",https://comicthumb-phinf.pstatic.net/20190404_258/pocket_1554332730405bPYwe_JPEG/kpc66653537273067513889788934985068.jpg?type=m101,182.0,1.0,0.914572864321608,0.8620689655172414,0.8830705250389881
3,9788956608556,9788956608594,구의 증명,최진영 지음,https://comicthumb-phinf.pstatic.net/20200509_198/pocket_15889791559538Y0eU_JPEG/kpc315322651917666689788956608594.jpg?type=m101,179.0,1.01,0.8994974874371859,0.8706896551724138,0.8822127880783226
4,9791190313186,9791190313254,지적 대화를 위한 넓고 얕은 지식 1,채사장 지음,https://comicthumb-phinf.pstatic.net/20230217_80/pocket_16765926839042pReV_JPEG/kyobo6885653103002582982l9791190313186.jpg?type=m101,172.0,1.0,0.864321608040201,0.8620689655172414,0.8629700225264253
5,9791191521221,9791191521238,K 배터리 레볼루션,박순혁,https://comicthumb-phinf.pstatic.net/20230223_260/pocket_1677111584285A2woM_JPEG/kyobo7202142205646382139l9791191521221.jpg?type=m101,166.0,1.0,0.8341708542713567,0.8620689655172414,0.8509097210188876
6,9791161571188,9791161571195,불편한 편의점,김호연 지음,https://comicthumb-phinf.pstatic.net/20230221_278/pocket_1676943386832O8KcQ_JPEG/kyobo501829617274137662l9791161571188.jpg?type=m101,140.0,1.06,0.7035175879396985,0.913793103448276,0.8296828972448451
7,9788901260716,9788901260877,역행자,자청,https://comicthumb-phinf.pstatic.net/20220530_109/pocket_1653883541006ogVBI_JPEG/%BF%AA%C7%E0%C0%DA_%C7%A5%C1%F6.jpg?type=m101,149.0,1.02,0.7487437185929648,0.8793103448275863,0.8270836943337377
8,0,9791168474000,세이노의 가르침,세이노,https://img.millie.co.kr/200x/service/cover/179590093/2fa4ba51473f42d3962302d3ed3bcd77.jpg,100.0,1.16,0.5025125628140703,1.0,0.8010050251256281
9,0,9791191891294,GPT 제너레이션,이시한,https://img.millie.co.kr/200x/service/cover/179593848/256bbc2befc54a6b8c4f2e2bb4de3800.jpg,96.0,1.01,0.4824120603015075,0.8706896551724138,0.7153786172240513
