title,created_at,text,date
3층 서기실의 암호,2023-02-23,북한에 대해 관심이 많고 논픽션 좋아해서 읽어봤어요 재밌었습니다!,2023-03-19
3층 서기실의 암호,2022-12-25,북한의 실상을 제대로 알수있어서 좋았어요,2023-03-19
3층 서기실의 암호,2021-12-04,"내부인이었던 외부인의 눈으로 쓴, 꽤나 훌륭한 북한 교과서.",2023-03-19
3층 서기실의 암호,2021-08-21,북한의 실태에 대해 궁금해서 구매했어요,2023-03-19
3층 서기실의 암호,2021-02-13,통일을 준비하는데 훌륭한 지침서,2023-03-19
AI 지도책,2023-02-21,AI에 대해 어느정도 이해가 되는 책입니다,2023-03-19
AI 지도책,2023-02-08,AI 신기술이해에 도움되었습니다~^^,2023-03-19
AI 지도책,2023-02-08,이제 곧 우리의 시대가될 현실!한번 읽어 보고싶어요,2023-03-19
AI 지도책,2023-02-08,Chat GPT가 핫해서 사봤어용,2023-03-19
AI 지도책,2023-02-08,인공지능에 대해 배울 수 있어요.,2023-03-19
DO IT 두잇,2023-03-19,몇권을 샀는지 몰라요. 너무 좋습니다. 읽고 읽다 너무 좋아서 주변에 나눠주고 또 선물 줍니다. 돈만 생기면 사는 책입니다. 크리스천이라면 무조건 읽어야 할 책! 처음에는 두렵고 무섭지만 읽을수록 주님안에서 안정감이 생깁니다. 박력있고 멋진 내 주님을 만날 수 있는 책! 주님이 이 책을 통해 힘을 내고 용기를 가져라 내가 명령한 것을 기억하라! 두려워 말라! 니가 가는 곳마다 하나님 여호와가 함께할것이다 라고 하십니다. 수1:9 ❤️,2023-03-19
DO IT 두잇,2023-03-19,탁월함이 있는 사람이 독보적으로 시장을 지배하게 된다앞으로의 세상은 창조하는 사람과 창조된 것을 소비하는 사람으로 나뉘게 된다. 이 양극화는 더욱 심해질 것이다.,2023-03-19
DO IT 두잇,2023-03-18,정말 좋은내용으로 가득하고 삶으로 실천하게 합니다..굿,2023-03-19
DO IT 두잇,2023-03-17,해보자해보자해보자!!!,2023-03-19
DO IT 두잇,2023-03-17,해보자해보자해보자!!,2023-03-19
GPT 제너레이션,2023-03-18,새로운 지식을 많이 얻었네요,2023-03-19
GPT 제너레이션,2023-03-18,도움이 돼요!!!!,2023-03-19
GPT 제너레이션,2023-03-18,궁금해서 구매했어요.,2023-03-19
GPT 제너레이션,2023-03-18,생소한 주제를 알기 쉽게 설명한 책,2023-03-19
GPT 제너레이션,2023-03-18,재밌게 잘 읽었습니다,2023-03-19
H마트에서 울다,2023-03-18,너무 감동적인 이민자 가족이야기네요,2023-03-19
H마트에서 울다,2023-03-18,공감됩니다 ㅎㅎㅎㅎ,2023-03-19
H마트에서 울다,2023-03-18,감동적이네요 ㅎㅎㅎㅎ,2023-03-19
H마트에서 울다,2023-03-13,힐링 입니다 눈물이 주룩주룩,2023-03-19
H마트에서 울다,2023-03-09,당시의 생활을 잘 모르지만 글을 통해 충분히 느낄 수 있었다,2023-03-19
K 배터리 레볼루션,2023-03-19,일단 배송이 빨라 좋았규요~ 산업의 전반적 이해해 도움이 됩니다,2023-03-19
K 배터리 레볼루션,2023-03-18,배터리에 대해 이해하기 쉬운 책을 찾다보니 구매하게 되었습니다. 만듦새 좋고 가독성 좋네요.,2023-03-19
K 배터리 레볼루션,2023-03-18,정말 유익하고 좋아요 추천!,2023-03-19
K 배터리 레볼루션,2023-03-18,이차전지사업을 이해하는데 기본적인 도움이됩니다,2023-03-19
K 배터리 레볼루션,2023-03-18,최고의 2차전지책 ㅎ,2023-03-19
STOP SMOKING 스탑 스모킹,2023-03-12,감사합니다 앞으로 제인생에서 담배란 없을것입니다 정말감사합니다,2023-03-19
