title,created_at,text,retweet_count,favorite_count,date
GPT 제너레이션,2023-03-14,"[책] GPT 제너레이션(생각보다 매우 좋은 책), 고민하면 늦는다. 그냥 써라 (출처 : Enoch's n.. | 블로그) https://t.co/e1p8xN1Tp7",0,0,2023-03-19
구의 증명,2023-03-14,이중 구의 증명….. 정말 어깨 들썩이며 울었다. https://t.co/OX9mtIp9N4,0,0,2023-03-19
그대 늙어가는 것이 아니라 익어가는 것이다,2023-03-15,[인터파크 도서] 그대 늙어가는 것이 아니라 익어가는 것이다 | [모바일 인터파크도서 상품 상세] - https://t.co/ZZo0Z8PW39,0,0,2023-03-19
그대 늙어가는 것이 아니라 익어가는 것이다,2023-03-12,"기대를  낮추면 잃을 것보다  얻을 것이 더 많아진다. 비우지 않아야 할것은 단 하나, 삶에대한 열정뿐이다. . 그대 늙어가는 것이 아니라 익어가는 것이다中 . . 마음을 다스리는 중.🤣🤣 https://t.co/z79FA1JuVB",0,18,2023-03-19
그대 늙어가는 것이 아니라 익어가는 것이다,2023-03-09,"잊모닝 입니다~  💛🦋 오늘은 휴일근무 대체 휴무라서 좋으네요🤭 날씨도 제법 낮엔 봄날 같아요. 행복하고 즐거운 하루 되시길요 . 일찍핀 꽃도 봄이고,  늦게핀 꽃도 봄이듯이 일찍 피든 늦게피든  그 계절은… https://t.co/tdgrbKxsLa",0,38,2023-03-19
기분이 태도가 되지 않게,2023-03-19,알바 사모님 기분이태도가되지않게 얼스타그램 고수익 육아기록육아일기 https://t.co/4lBsp5X9Kp,0,0,2023-03-19
김미경의 마흔 수업,2023-03-17,김미경 너무 조급한 40대 위해 김미경의 마흔 수업 써 인생은 선택 아닌 수정이 실력 컬투쇼  https://t.co/O01rF1S2EG,0,0,2023-03-19
김미경의 마흔 수업,2023-03-17,오랜만에 글씨 써봅니다. 몽돌쌤의 엽서에 김미경의 마흔수업 책 속의 한줄을 적어 봅니다.  #김미경의마흔수업 #더몽돌 #엽서 #mohae_calligraphy  #나빛힐링캘리 https://t.co/91gff5zv9h,0,1,2023-03-19
김미경의 마흔 수업,2023-03-12,"""임업인들을 "" 위한 가공품시장조사 ""책한권""구입 ""김미경의 마흔수업 #서부의강자2023.03.12 #한국임업후계자협회 #임업후계자 #해밝음 #해밝음장애인복지회 #ESG #산림치유 #사회적농업 #치유농업사… https://t.co/buhpgKB4xo",0,0,2023-03-19
너의 이름은。,2023-03-19,스즈메 감상평: 오타쿠적으로도 너의 이름은 보다 낫고 영화로서도 너의 이름은 보다 나았음,0,0,2023-03-19
너의 이름은。,2023-03-19,스즈메의 문단속 후기  최근작은 너의 이름은만 봤는데 그것과 비교하면 조금 슴슴한 맛이라 평가가 갈릴만 한 느낌.  조금 민감할 수도 있는 대상인 10년정도 지난 대지진을 돌려서 표현한 부분이 놀라웠음  #스즈메의문단속,0,0,2023-03-19
너의 이름은。,2023-03-19,ㄹㅇ 테이프 가져오ㅏ서 스즈메 입을 막아야한다고 생각함… ㅅㅂ 뭐하묘…???? 난 너의이름은이 더 재밋던득 지진 묘사 사실적이래서 도쿄에서 크게한번 터지는줄 알앗는데 맨첨에 나온 그게 다엿구나ㅡ 개연성(이… https://t.co/93YeqcIvbU,0,0,2023-03-19
너의 이름은。,2023-03-19,너의 이름은 보러왔서여,0,3,2023-03-19
너의 이름은。,2023-03-19,@winter_V_bear 응 너의이름은 감독작품이라서 그 느낌나더라,0,2,2023-03-19
너의 이름은。,2023-03-18,@Ran_0109_44 그거 저거자나 너의 이름은 감독인가 작가인가,0,1,2023-03-19
너의 이름은。,2023-03-18,아니 저 스즈메의 문단속 봤는데 진짜.진짜 후유증 완전 남ㅇ아요... 엔딩 크레딧 올라가는데 멍 때리다가 울고 다시 멍 때리면서 노래 감상하다 울었어요.ㅜㅜㅡㅜ 보고 나서 계속 생각나고...... 암튼 재밌… https://t.co/7J2WKDMGNo,0,2,2023-03-19
너의 이름은。,2023-03-18,"어제 퇴근하고 스즈메의 문단속 봤는데 난 너의 이름은이 훨씬 좋았네. 날씨의 아이는 안 봤지만 3부작(?) 중 가장 직접적으로 주제를 다룬 느낌인데, 필요한 일이기도 하지만 그렇지 않음에도 메시지를 담아 전… https://t.co/beyp3C4XoN",0,1,2023-03-19
너의 이름은。,2023-03-18,너의 이름은 보는 중 https://t.co/GbZmiU6rfm,0,4,2023-03-19
너의 이름은。,2023-03-18,@BBB_liso 다같이 너의이름은 찍었네용 아무리 부르짖어도 만날수 없어버리기😢😢😢,0,1,2023-03-19
너의 이름은。,2023-03-18,@_dolpu 그 3개가 재난 시리즈물 이라고 듣긴 했어요 ㅎㅎ 저도 너의 이름은 보다는 스즈메가 더 재미있더라구요 넷플릭스에 있던데 시간나면 봐야겠네요 ㅎㅎ,0,0,2023-03-19
너의 이름은。,2023-03-18,@bemyae201117 저도 봤어요 2번😌 너의 이름은 만큼은 아니었지만 꽤 재밌게봤어요😊,0,1,2023-03-19
너의 이름은。,2023-03-18,@_dolpu 아 맞아요 반항기 묘사로 느껴지기도 했어요 ㅋㅋ 날씨의 아이는 제가 아직 못봤는데 재미있나요? 너의 이름은 봤어요.,0,1,2023-03-19
너의 이름은。,2023-03-17,@myong413 히히 너의이름은 보단 조금 아쉽긴하지만 재밌게 봤어용,0,0,2023-03-19
너의 이름은。,2023-03-17,그러고보니 너의이름은 부터 날씨의아이 스즈메까지 전부 재난관련이였구나,0,1,2023-03-19
너의 이름은。,2023-03-17,음 재난을 어떻게 풀어낼 것인가라는 부분은 &lt;스즈메의 문단속&gt;이 너무나 직설 화법을 써서 &lt;너의 이름은.&gt;이나 &lt;날씨의 아이&gt;보다 약하다고도 볼 수 있는데 연출력 면에서는 두 작품보다 발전해서 거장 반열에… https://t.co/McqXPIHS86,0,3,2023-03-19
너의 이름은。,2023-03-17,그냥 너의 이름은 책으로 하나 사고 나옴 https://t.co/MQchIluGoy,0,2,2023-03-19
너의 이름은。,2023-03-17,너의 이름은 다시 볼까,0,0,2023-03-19
너의 이름은。,2023-03-17,어제 애인한테 날씨의 아이 와인쿨러 마시면서 보자고 했는데 클라이막스 쯤 되서 잤음 ... 애인은 끝까지 봄 ... 근데 난 너의 이름은 보다가도 중간에 자서 뭔 얘긴지 잘 모름,0,0,2023-03-19
너의 이름은。,2023-03-17,“영화 너의 이름은 대표 장소 7곳” https://t.co/msSzMRTjPL,4,9,2023-03-19
너의 이름은。,2023-03-16,"오 신기하다. 사놓고 보지도 않고 방치해뒀던 날씨의 아이 블루레이 꺼내서 이거저거 보는 중인데, 날씨의 아이 엔딩 부분을 너의 이름은 황혼 씬을 참고했다는게 밝혀져... https://t.co/SaMa2kGzuu",0,1,2023-03-19
너의 이름은。,2023-03-16,@tensa____ 맞말.... 숨어서 들어야 하는 명곡 너의 이름은🥲,0,1,2023-03-19
너의 이름은。,2023-03-16,너의 이름은 전주 듣자마자 탈주햇어요,0,0,2023-03-19
너의 이름은。,2023-03-16,"덧) 소타가 지브리의 하울을 떠올리게 할 정도로 잘 생긴 건 아마도 어른의 사정이겠지만... 소타와 스즈메의 관계는 그저 '사랑 얘기'는 아닐 거라고 본다. ""연애 같은 건 아니다""는 스즈메의 대사도 있고.… https://t.co/UMm8vdoTJb",0,0,2023-03-19
너의 이름은。,2023-03-16,너의 이름은 볼 때의 느낌을 다시 느낄까봐 스즈메 못 보겠어 https://t.co/g4emt3UiGY,0,1,2023-03-19
너의 이름은。,2023-03-15,@paphy__ 완성도로 따지면 너의 이름은이 더 높고 여운으로 따지면 이게 더 긴 듯,0,0,2023-03-19
너의 이름은。,2023-03-15,@paphy__ 신카이마코토 vs 신카이마코토 구도인 게 어이 없긴 하지만  분명 &lt;너의 이름은.&gt;보다 호불호가 더 갈릴 작품인데 신기하긴 함,0,0,2023-03-19
너의 이름은。,2023-03-15,가족 이야기를 하고 싶었던 거라면 좀 더 가족 이야기에 내용을 할애했어야 하는 거 아닌가 싶은 생각도 들고 딱히 너의 이름은 이나 날씨의 아이 보다 좋은 작품이란 결론은 못내리겠다.,0,0,2023-03-19
너의 이름은。,2023-03-15,어릴땐 옷깃만 스쳐도 좋아하게 됨미당 그냥 저거 쓴 사람은 연애세포가 다 죽은거라서 그런거임 나도 너의 이름은 볼때 공감은 못하고 이해만 하고 봄 ㅠㅠ,0,0,2023-03-19
너의 이름은。,2023-03-15,@jarim_cos 정보:전 너의 이름은도 안봤습니다,0,0,2023-03-19
너의 이름은。,2023-03-15,@jhycompany ㄹㅇ..궁금함 나사실  너의이름은 보다가 잘뻔했거든..? 스즈메도그런거면 안볼라곸ㅋㄱㄱ 시달소같은거면 본다,0,1,2023-03-19
너의 이름은。,2023-03-15,2023-03-15-17-50  스즈메의 문단속 2번째 봤다 첫번째 봤을 때 잘 못봐서 다시 보니 확실히 이해된다 ㅎㅎ 덤으로 2주차 특전도 받았다 개인적으로 지향점이 다르지만 날씨의 아이와 동급 같다 물론… https://t.co/2xy0plMxOq,0,0,2023-03-19
